player_name,year,runs,balls,matches,strike_rate,wickets,run_conceded,balls_bowled,overs,economy
Sanju Samson,2019,342,238,11,143.697479,0,0,0,0,0
Sam Billings,2019,0,5,1,0,0,0,0,0,0
Trent Boult,2019,7,4,2,175,5,163,120,20,8.15
Tim Southee,2019,9,9,1,100,1,123,58,9.666666667,12.72413793
Umesh Yadav,2019,25,26,5,96.15384615,9,375,238,39.66666667,9.453781513
Vijay Shankar,2019,244,196,14,124.4897959,2,70,52,8.666666667,8.076923077
Virat Kohli,2019,464,332,14,139.7590361,0,0,0,0,0
Varun Aaron,2019,3,7,1,42.85714286,4,128,74,12.33333333,10.37837838
Washington Sundar,2019,1,4,2,25,4,75,54,9,8.333333333
Wriddhiman Saha,2019,86,55,5,156.3636364,0,0,0,0,0
Prithvi Raj Yarra,2019,0,1,1,0,1,57,33,5.5,10.36363636
Yusuf Pathan,2019,40,47,7,85.10638298,0,8,6,1,8
Yuzvendra Chahal,2019,6,16,3,37.5,18,394,308,51.33333333,7.675324675
Yuvraj Singh,2019,98,83,4,118.0722892,0,0,0,0,0
Amit Mishra,2021,0,0,0,0,6,109,84,14,7.785714286
Anrich Nortje,2021,0,0,0,0,12,198,187,31.16666667,6.352941176
Abdul Samad,2021,111,89,10,124.7191011,1,9,6,1,9
Abhishek Sharma,2021,98,78,7,125.6410256,4,66,63,10.5,6.285714286
Abraham de Villiers,2021,313,215,14,145.5813953,0,0,0,0,0
Adam Milne,2021,16,19,3,84.21052632,4,135,87,14.5,9.310344828
Ajinkya Rahane,2021,8,9,1,88.88888889,0,0,0,0,0
AK Markram,2021,146,123,6,118.699187,0,23,25,4.166666667,5.52
Akash Singh,2021,0,0,0,0,0,39,24,4,9.75
Ambati Rayudu,2021,257,175,13,146.8571429,0,0,0,0,0
Andre Russell,2021,183,127,8,144.0944882,11,189,122,20.33333333,9.295081967
Anmolpreet Singh,2021,16,14,1,114.2857143,0,0,0,0,0
Anuj Rawat,2021,0,1,1,0,0,0,0,0,0
Axar Rajesh Patel,2021,40,52,6,76.92307692,16,315,285,47.5,6.631578947
Arshdeep Singh,2021,2,3,2,66.66666667,20,348,263,43.83333333,7.939163498
Adil Rashid,2021,0,0,0,0,0,35,18,3,11.66666667
Avesh Khan,2021,5,3,1,166.6666667,27,466,383,63.83333333,7.300261097
Benjamin Stokes,2021,0,3,1,0,0,12,6,1,12
Bhuvneshwar Kumar,2021,34,32,7,106.25,6,337,259,43.16666667,7.806949807
Chetan Sakariya,2021,16,25,5,64,14,434,334,55.66666667,7.796407186
Chris Lynn,2021,49,36,1,136.1111111,0,0,0,0,0
Christopher Gayle,2021,193,160,10,120.625,0,0,0,0,0
Christopher Morris,2021,67,53,7,126.4150943,17,396,262,43.66666667,9.06870229
Chris Jordan,2021,32,21,2,152.3809524,4,103,74,12.33333333,8.351351351
Chris Woakes,2021,15,11,1,136.3636364,5,85,67,11.16666667,7.611940299
Varun Chakravarthy,2021,2,4,2,50,20,456,416,69.33333333,6.576923077
Devdutt Padikkal,2021,411,342,14,120.1754386,0,0,0,0,0
David Miller,2021,124,115,8,107.826087,0,0,0,0,0
David Warner,2021,197,191,8,103.1413613,0,0,0,0,0
Denial Christian,2021,14,24,7,58.33333333,4,156,104,17.33333333,9
Dhawal Kulkarni,2021,0,0,0,0,0,48,26,4.333333333,11.07692308
Dinesh Karthik,2021,223,172,15,129.6511628,0,0,0,0,0
Deepak Hooda,2021,160,125,11,128,2,136,96,16,8.5
Dawid Malan,2021,26,26,1,100,0,0,0,0,0
Deepak Chahar,2021,1,1,1,100,16,453,339,56.5,8.017699115
Daniel Sams,2021,6,6,2,100,1,39,38,6.333333333,6.157894737
Dwayne Bravo,2021,47,22,3,213.6363636,15,264,221,36.83333333,7.167420814
Evin Lewis,2021,151,96,5,157.2916667,0,0,0,0,0
Eoin Morgan,2021,133,142,15,93.66197183,0,0,0,0,0
Faf du Plessis,2021,633,471,16,134.3949045,0,0,0,0,0
Fabian Allen,2021,6,12,2,50,1,90,67,11.16666667,8.059701493
Glenn Phillips,2021,26,33,3,78.78787879,1,20,13,2.166666667,9.230769231
George Garton,2021,2,4,2,50,3,136,97,16.16666667,8.412371134
Glenn Maxwell,2021,513,373,14,137.5335121,3,135,99,16.5,8.181818182
Harbhajan Singh,2021,4,4,2,100,0,63,45,7.5,8.4
Harpreet Brar,2021,64,61,5,104.9180328,5,142,141,23.5,6.042553191
Hardik Pandya,2021,127,116,11,109.4827586,0,0,0,0,0
Harshal Patel,2021,59,48,7,122.9166667,35,461,361,60.16666667,7.662049861
Ishan Porel,2021,0,0,0,0,1,42,26,4.333333333,9.692307692
Imran Tahir,2021,0,0,0,0,3,16,26,4.333333333,3.692307692
Ishan Kishan,2021,241,182,10,132.4175824,0,0,0,0,0
Ishant Sharma,2021,0,0,0,0,1,98,72,12,8.166666667
Jagadeesha Suchith,2021,14,6,1,233.3333333,1,66,42,7,9.428571429
Jayant Yadav,2021,34,26,2,130.7692308,3,131,106,17.66666667,7.41509434
Jhye Richardson,2021,15,25,2,60,3,122,69,11.5,10.60869565
Jalaj Saxena,2021,0,0,0,0,0,27,18,3,9
Jason Holder,2021,85,73,7,116.4383562,16,248,203,33.83333333,7.330049261
Jasprit Bumrah,2021,16,17,7,94.11764706,22,422,347,57.83333333,7.296829971
Jaydev Unadkat,2021,41,32,3,128.125,4,168,134,22.33333333,7.52238806
Jos Buttler,2021,254,173,7,146.8208092,0,0,0,0,0
James Neesham,2021,0,2,2,0,5,68,54,9,7.555555556
Jason Roy,2021,150,125,5,120,0,0,0,0,0
Jonny Bairstow,2021,248,179,7,138.547486,0,0,0,0,0
Josh Hazlewood,2021,0,0,0,0,11,302,215,35.83333333,8.427906977
Kagiso Rabada,2021,13,6,3,216.6666667,16,464,346,57.66666667,8.046242775
Kuldeep Yadav,2021,0,4,1,0,0,17,12,2,8.5
Kyle Jamieson,2021,65,55,7,118.1818182,9,271,179,29.83333333,9.083798883
Kane Richardson,2021,0,0,0,0,1,29,19,3.166666667,9.157894737
Kartik Tyagi,2021,2,4,2,50,4,125,93,15.5,8.064516129
Kedar Jadhav,2021,55,55,5,100,0,0,0,0,0
Krunal Pandya,2021,143,126,12,113.4920635,5,267,210,35,7.628571429
Kieron Pollard,2021,245,180,13,136.1111111,6,95,85,14.16666667,6.705882353
Khaleel Ahmed,2021,1,2,1,50,5,225,168,28,8.035714286
Kamlesh Nagarkoti,2021,0,2,1,0,0,25,12,2,12.5
KL Rahul,2021,626,465,13,134.6236559,0,0,0,0,0
K.M. Asif,2021,0,0,0,0,1,18,14,2.333333333,7.714285714
Kona Srikar Bharat,2021,191,161,6,118.6335404,0,0,0,0,0
Kane Williamson,2021,270,250,10,108,0,0,0,0,0
Lungisani Ngidi,2021,0,0,0,0,5,129,75,12.5,10.32
Lalit Yadav,2021,68,75,5,90.66666667,4,101,84,14,7.214285714
Lockie Ferguson,2021,18,13,1,138.4615385,14,226,186,31,7.290322581
Lukman Hussain Meriwala,2021,0,0,0,0,1,32,19,3.166666667,10.10526316
Liam Livingstone,2021,42,43,5,97.6744186,0,0,0,0,0
Murugan Ashwin,2021,15,24,2,62.5,1,100,71,11.83333333,8.450704225
Marco Jansen,2021,0,4,2,0,3,47,40,6.666666667,7.05
Mayank Markande,2021,0,0,0,0,0,26,18,3,8.666666667
Prasidh Krishna,2021,0,1,1,0,12,357,253,42.16666667,8.466403162
Shahrukh Khan,2021,153,118,10,129.6610169,0,0,0,0,0
Manan Vohra,2021,42,40,4,105,0,0,0,0,0
Mandeep Singh,2021,15,14,1,107.1428571,0,0,0,0,0
Manish Pandey,2021,292,246,8,118.699187,0,0,0,0,0
Mayank Agarwal,2021,441,324,12,136.1111111,0,0,0,0,0
Mahipal Lomror,2021,94,76,4,123.6842105,1,47,43,7.166666667,6.558139535
Moeen Ali,2021,357,270,15,132.2222222,7,163,154,25.66666667,6.350649351
Mohammad Nabi,2021,34,22,3,154.5454545,2,86,48,8,10.75
Mohammed Shami,2021,13,17,3,76.47058824,20,400,323,53.83333333,7.430340557
Mohammed Siraj,2021,20,26,4,76.92307692,11,366,321,53.5,6.841121495
Moises Henriques,2021,31,32,4,96.875,4,47,61,10.16666667,4.62295082
Marcus Stoinis,2021,89,74,7,120.2702703,2,124,69,11.5,10.7826087
MS Dhoni,2021,114,111,11,102.7027027,0,0,0,0,0
Mujeeb Ur Rahman,2021,1,1,1,100,2,30,26,4.333333333,6.923076923
Mustafizur Rahman,2021,8,14,3,57.14285714,18,448,327,54.5,8.220183486
Nicolas Pooran,2021,85,77,10,110.3896104,0,0,0,0,0
Nitish Rana,2021,383,325,16,117.8461538,0,12,12,2,6
Nathan Coulter-Nile,2021,4,5,2,80,7,131,121,20.16666667,6.495867769
Navdeep Saini,2021,2,5,1,40,0,53,25,4.166666667,12.72
Nathan Ellis,2021,18,17,2,105.8823529,1,91,68,11.33333333,8.029411765
Prabhsimran Singh,2021,19,23,2,82.60869565,0,0,0,0,0
Piyush Chawla,2021,0,2,1,0,1,38,24,4,9.5
Pat Cummins,2021,93,60,5,155,9,237,168,28,8.464285714
Priyam Garg,2021,72,75,5,96,0,0,0,0,0
Prithvi Shaw,2021,479,308,15,155.5194805,0,0,0,0,0
Wanindu Hasaranga,2021,1,2,2,50,0,60,36,6,10
Quinton de Kock,2021,297,261,11,113.7931034,0,0,0,0,0
Riyan Parag,2021,93,84,10,110.7142857,2,73,39,6.5,11.23076923
Rahul Tewatia,2021,155,152,11,101.9736842,8,342,229,38.16666667,8.96069869
R. Ashwin,2021,44,43,5,102.3255814,8,334,278,46.33333333,7.208633094
Rahul Tripathi,2021,397,285,16,139.2982456,0,0,0,0,0
Rashid Khan,2021,83,71,10,116.9014085,19,398,349,58.16666667,6.842406877
Ravi Bishnoi,2021,1,5,1,20,13,240,220,36.66666667,6.545454545
Ravindra Jadeja,2021,227,170,11,133.5294118,13,347,300,50,6.94
Rahul Chahar,2021,14,15,4,93.33333333,13,324,261,43.5,7.448275862
Ruturaj Gaikwad,2021,635,474,16,133.9662447,0,0,0,0,0
Rajat Patidar,2021,71,65,4,109.2307692,0,0,0,0,0
Robin Uthappa,2021,115,86,4,133.7209302,0,0,0,0,0
Rohit Sharma,2021,381,307,13,124.1042345,0,13,7,1.166666667,11.14285714
Riley Meredith,2021,0,0,0,0,4,171,108,18,9.5
Rishabh Pant,2021,424,343,16,123.6151603,0,0,0,0,0
Ripal Patel,2021,25,29,2,86.20689655,0,22,20,3.333333333,6.6
Shivam Dube,2021,230,205,9,112.195122,0,53,31,5.166666667,10.25806452
Shreyas Gopal,2021,7,5,2,140,0,84,42,7,12
Sandeep Warrier,2021,0,0,0,0,0,15,12,2,7.5
Suryakumar Yadav,2021,317,226,14,140.2654867,0,0,0,0,0
Sachin Baby,2021,7,17,1,41.17647059,0,0,0,0,0
Sandeep Sharma,2021,8,7,2,114.2857143,3,204,145,24.16666667,8.44137931
ShabhazNadeem,2021,0,1,1,0,1,36,24,4,9
Shahbaz Ahmed,2021,59,55,7,107.2727273,7,92,84,14,6.571428571
Shakib Al Hasan,2021,47,50,6,94,5,188,157,26.16666667,7.184713376
Shikhar Dhawan,2021,587,480,16,122.2916667,0,0,0,0,0
Shivam Mavi,2021,25,21,2,119.047619,12,242,204,34,7.117647059
Shubman Gill,2021,478,415,17,115.1807229,0,0,0,0,0
Siddarth Kaul,2021,8,8,2,100,8,253,181,30.16666667,8.386740331
Sam Curran,2021,56,30,4,186.6666667,10,332,209,34.83333333,9.531100478
Sarfaraz Khan,2021,0,4,2,0,0,0,0,0,0
Shardul Thakur,2021,5,6,4,83.33333333,22,531,388,64.66666667,8.211340206
Shimron Hetmyer,2021,242,153,12,158.1699346,0,0,0,0,0
Sunil Narine,2021,62,51,10,121.5686275,18,369,344,57.33333333,6.436046512
Steve Smith,2021,152,136,7,111.7647059,0,0,0,0,0
Shreyas Iyer,2021,175,181,8,96.68508287,0,0,0,0,0
Saurabh Tiwary,2021,115,99,4,116.1616162,0,0,0,0,0
Suresh Raina,2021,160,133,11,120.3007519,0,0,0,0,0
Sanju Samson,2021,484,372,14,130.1075269,0,0,0,0,0
T Natarajan,2021,0,0,0,0,2,70,50,8.333333333,8.4
Tabraiz Shamsi,2021,2,4,1,50,0,34,24,4,8.5
Trent Boult,2021,1,4,2,25,14,409,317,52.83333333,7.741324921
Tim Southee,2021,3,5,1,60,5,95,74,12.33333333,7.702702703
Tim David,2021,1,3,1,33.33333333,0,0,0,0,0
Tom Curran,2021,21,17,2,123.5294118,4,104,72,12,8.666666667
Tim Seifert,2021,2,5,1,40,0,0,0,0,0
Umran Malik,2021,0,0,0,0,2,96,75,12.5,7.68
Vijay Shankar,2021,58,52,5,111.5384615,4,100,72,12,8.333333333
Virat Kohli,2021,405,347,15,116.7146974,0,0,0,0,0
Virat Singh,2021,15,26,2,57.69230769,0,0,0,0,0
Venkatesh Iyer,2021,370,299,10,123.7458194,3,71,54,9,7.888888889
Washington Sundar,2021,31,48,4,64.58333333,3,119,98,16.33333333,7.285714286
Wriddhiman Saha,2021,131,144,9,90.97222222,0,0,0,0,0
Yashasvi Jaiswal,2021,249,168,10,148.2142857,0,0,0,0,0
Yuzvendra Chahal,2021,10,27,2,37.03703704,19,381,323,53.83333333,7.077399381
Abhinav Manohar,2022,108,79,7,136.7088608,0,0,0,0,0
Anrich Nortje,2022,1,7,1,14.28571429,9,219,143,23.83333333,9.188811189
Abhijeet Tomar,2022,4,8,1,50,0,0,0,0,0
Aaron Finch,2022,86,70,5,122.8571429,0,0,0,0,0
Abdul Samad,2022,4,7,2,57.14285714,0,8,6,1,8
Abhishek Sharma,2022,426,329,14,129.4832827,0,39,24,4,9.75
Adam Milne,2022,0,0,0,0,0,19,15,2.5,7.6
Andrew Tye,2022,0,0,0,0,3,113,69,11.5,9.826086957
Ajinkya Rahane,2022,133,131,7,101.5267176,0,0,0,0,0
AK Markram,2022,381,277,12,137.5451264,1,64,36,6,10.66666667
Akash Deep,2022,0,2,1,0,6,206,119,19.83333333,10.38655462
Aman Hakim Khan,2022,5,3,1,166.6666667,0,13,6,1,13
Ambati Rayudu,2022,274,230,11,119.1304348,0,0,0,0,0
Andre Russell,2022,335,200,12,167.5,21,282,176,29.33333333,9.613636364
Anmolpreet Singh,2022,13,13,2,100,0,0,0,0,0
Anuj Rawat,2022,129,123,8,104.8780488,0,0,0,0,0
Axar Rajesh Patel,2022,182,122,10,149.1803279,6,323,261,43.5,7.425287356
Arshdeep Singh,2022,21,30,6,70,12,402,317,52.83333333,7.608832808
Alzarri Joseph,2022,5,7,3,71.42857143,8,269,185,30.83333333,8.724324324
Anukul Roy,2022,0,2,1,0,1,55,42,7,7.857142857
Avesh Khan,2022,22,13,4,169.2307692,19,423,300,50,8.46
Ayush Badoni,2022,161,139,11,115.8273381,2,12,12,2,6
Baba Indrajith,2022,21,31,3,67.74193548,0,0,0,0,0
B. Sai Sudharsan,2022,145,118,5,122.8813559,0,0,0,0,0
Basil Thampi,2022,0,0,0,0,5,158,102,17,9.294117647
Bhuvneshwar Kumar,2022,24,28,6,85.71428571,13,394,330,55,7.163636364
Chetan Sakariya,2022,0,0,0,0,3,87,71,11.83333333,7.352112676
Chris Jordan,2022,11,9,2,122.2222222,3,136,80,13.33333333,10.2
Varun Chakravarthy,2022,12,18,3,66.66666667,6,338,245,40.83333333,8.27755102
Dewald Brevis,2022,161,116,7,138.7931034,1,8,3,0.5,16
Devdutt Padikkal,2022,376,317,17,118.6119874,0,0,0,0,0
Dwaine Pretorius,2022,44,28,5,157.1428571,7,213,138,23,9.260869565
David Miller,2022,481,348,16,138.2183908,0,0,0,0,0
David Warner,2022,432,301,12,143.5215947,0,0,0,0,0
Darshan Nalkande,2022,0,0,0,0,2,59,33,5.5,10.72727273
Dinesh Karthik,2022,330,188,16,175.5319149,0,0,0,0,0
Deepak Hooda,2022,451,340,14,132.6470588,1,43,24,4,10.75
Daryl Mitchell,2022,33,46,2,71.73913043,0,27,13,2.166666667,12.46153846
David Willey,2022,18,32,2,56.25,1,75,66,11,6.818181818
Devon Conway,2022,252,176,7,143.1818182,0,0,0,0,0
Daniel Sams,2022,38,40,10,95,14,375,274,45.66666667,8.211678832
Dwayne Bravo,2022,23,26,6,88.46153846,17,303,229,38.16666667,7.938864629
Evin Lewis,2022,73,60,5,121.6666667,0,0,0,0,0
Faf du Plessis,2022,468,377,16,124.137931,0,0,0,0,0
Fabian Allen,2022,8,7,1,114.2857143,1,46,24,4,11.5
Fazalhaq Farooqi,2022,2,8,1,25,2,110,76,12.66666667,8.684210526
Glenn Maxwell,2022,301,184,13,163.5869565,8,166,146,24.33333333,6.821917808
